id,Text,gmc,c,cf,stom,blood,factc,horm,ct,gmt,t,alarm,doors,factt,gmm,pain,fm,m,som,factm
9403_23131,"Amélie voit une amie qu'elle n'a pas vue depuis longtemps. Elles s'assoient dans un café et discutent pour rattraper le temps perdu. 
 
 Elles parlent de travail car Amélie travaille dans les biotechnolgies et travaillent sur le développement d'un nouvel analgésique. Elles discutent du fait que selon les rumeurs, ce nouveau médicament pourrait présenter des effets secondaires avec des douleurs muscularies persistantes. 
 
 Elles parlent de technologies, car Amélie a récemment téléchargé une application qui lui permet de verrouiller sa maison Ã distance. Selon les rumeurs, cette application pourrait présenetr des défauts comme déclencher l'alarme sans raison ou dévérouiller la maison inopinément. 
 
 Elles parlent de santé car Amélie prend une nouvelle contraception. Selon la rumeur, cette contraception pourrait entrainer des effets secondaires comme des dérèglements du cycle menstruel. 
 
 Amélie et son amie se quittent en se disant qu'elles se reverraient dans les prochains jours. L'amie d'Amélie reste 6 jours en ville.",1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0
5339_23131,"Amelie recoit la visite d'une vieilie, il decide de boire un café. Son amie dis qu'elle utilise une nouvelle methode de contraception mais que apprament cela pourrait avoir des effets secondaire tels que des soucis d'estomac, son amie travaille dans une entreprise de Biothecnologie. Par la suite cette amie raconte qu'elle utilise une application de sécurité domestique mais que il serait possible qu'il y'ait des erreurs, tels que des sonneries d'alarme sans raison et des ouverture de portes. Cette amie va rester pendant 6 jours afin de visiter la ville d'Amelie.",1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
8370_23131,"Deux amies se retouvent pour discuter. Elles abordent différents sujets (contraception, nouvelles technologies, médicaments antalgiques) et abordent pour chaque les effets secondaires indésirables. Elles prévoient de se revoir la semaine suivante.",1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
2711_23131,ce texte nous parle de deux amis qui se sont revus y'a longtemps et ce mettent a discuter d 'abord ils parrlent des nouvelles contraceptions et leurs effets secondaires a longs terme ensuite des technologies pour un controle a distance d' une maison et de leurs disfonctionnement et pour finir de leurs vies professionnelles et se promettent de se revoir,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1045_23131,"Amélie parle Ã une amie d'un analgésique dont beaucoup de mode parle. Il semblerait que celui-ci ait des effets secondaires. Il provoquerait des problèmes de fertilité.
 
 De plus avec son ami, Amélie parle d'un système de sécurité de maison. Il semblerait cependant que celui-ci ait des dysfonctionnements. Il ferait sonner l'alarme de la maison inopinément et il dévérouillerait les portes seul
 
 Nouveau sujet de discussion, améile et son ami parle d'un moyen de contraception qui comme l'analgésique aurait des effets secondaires touchant aussi la fertilité de la personne qui en prend.
 
 Les deux amies se disent au revoir et prévoient de se revoir pour dÃ®ner dans la semaine",1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0
6571_23131,"Amélie retrouve une amie de longueu date. Tout d'abord ces dernières se donnent rendez vous dans un cafet afin de pouvoir discuter.
 Le premier sujet mit sur la table est un nouveau médicament antianalgésique. Ce dernier, selon certaines rumeurs pourrait dérégler le cycle menstruel, et donc causer des soucis d'ovulations.
 
 Ensuite un deuxième sujet tombent, car Amélie Ã dernièrement télécharger une nouvelle application de sécurité pour chez elle. Selon certains dires, cette application pourrait déclencher de manière non justifiée l'alarme de chez elle. Elle cherche donc Ã savoir si ces dires s'avèrent vrais ou non.",0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
5305_23131,"Amélie et son amie se retrouvent pour se donner des nouvelles. 
 
 Amélie lui explique qu'elle travaille dans une entreprise de biotechnologie, sur un nouveau composé analgésique.
 
 Amélie lui dit qu'elle vient d'installer une application sur son téléphone qui lui permet de verrouiller sa maison Ã distance. En revanche, cette application pourrait poser des problèmes, notamment sur le déclenchement de l'alarme Ã distance sans le vouloir, ou le déverrouillage des portes par inattention. 
 
 Enfin Amélie lui explique qu'elle prend une nouvelle contraception, mais elles discutent des potentiels effets secondaires, notamment des aigreurs d'estomac. 
 
 Elles se disent au revoir et prévoient de se revoir dans la semaine. 
 L'amie d'Amélie reste encore pendant 6 semaines.",1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0
2270_23131,Amelie et une amie se croisent . Elle ne se sont pas vu depuis un moment . Elle discute de plusieurs sujets. Amelie dit quel pend un nouveau contraceptif pour eviter les grossese non desirée mais qu'il ya des rumeurs qui disent que cela provoque des aigreurs d'estomac. Elle parle egalement d'un autre sujets dont je ne me souviens plus ou amelie evoque aussi des rumeurs sur ce sujets la. Elle evoque ensuite leurs travails amelie travaille dans une entreprise de biotechnologies et developpe actuellement un nouvel analgesique mais il y a des rumeurs sur des effets secondaires nefastes au niveau musculaire . Elle se quitte ensuite mais elle prevoit de se revoir dici six jours.,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
877_23131,Je ne m'en souviens plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7855_23131,"C'est l'histoire de deux amies qui ne se sont pas vue depuis longtemps et donc elles ont décidée de se voir pour parler. Elles décident donc de discuter d'une nouvelle sortent d'analségique car une des deux amies travail dans un laboratoire de biotechnologies. Elles discutent des rumeurs autour de ce médicament. Ensuite elles discutent de contraception et de technologie de verouillage et parle des rumeurs qui sont en général négatives autour de ces sujets. Après leurs échange, elles décident de se quitter et de se revoir bientôt. Une des amies reste six jours dans la ville pour la visiter.",1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
